Title,Address,City,Face,Posted,Price,Bedroom,Bathroom,Floors,Parking,House Age,Amenities Count,Build Area (Aana),Price per Bedroom
"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,West,11 hours ago,90000000,6,3,2.0,10,0.0,16,288.0,15000000.0
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,East,12 hours ago,80000000,5,3,2.0,9,0.0,15,14.0,16000000.0
"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,East,2 days ago,70000000,5,3,2.0,12,0.0,16,161.0,14000000.0
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,West,1 day ago,130000000,6,4,3.0,9,8.0,16,7.0,21666666.666666668
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,East,2 days ago,100000000,6,3,2.0,10,0.0,16,14.0,16666666.666666666
"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,East,3 days ago,100000000,5,6,3.0,9,0.0,16,8.0,20000000.0
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,South East,3 days ago,11000000,3,4,3.0,1,6.0,2,4.0,3666666.6666666665
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,East,3 days ago,50000000,5,4,2.0,9,0.0,16,6.0,10000000.0
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,North,4 days ago,100000000,10,8,3.5,5,8.0,16,9.0,10000000.0
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,South East,1 month ago,32500000,6,4,2.5,1,0.0,13,4.0,5416666.666666667
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,South West,3 weeks ago,32000000,4,5,3.0,3,0.0,2,4.0,8000000.0
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,North West,1 month ago,39900000,5,4,3.0,1,0.0,3,4.0,7980000.0
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South,1 month ago,15000000,2,2,1.0,1,0.0,1,4.0,7500000.0
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South East,1 month ago,52500000,5,5,3.0,3,0.0,9,4.0,10500000.0
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,26500000,6,6,3.0,1,0.0,1,4.0,4416666.666666667
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,East,1 month ago,25500000,6,6,3.0,1,0.0,1,4.0,4250000.0
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,East,2 months ago,33000000,6,4,2.5,1,0.0,12,4.0,5500000.0
"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,South,1 month ago,18500000,4,4,3.0,3,0.0,1,4.0,4625000.0
"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,East,1 month ago,62000000,7,4,3.0,3,0.0,0,4.0,8857142.857142856
"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,North,1 month ago,10500000,0,0,3.0,0,0.0,0,4.0,10500000.0
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,East,1 month ago,20500000,7,3,3.0,1,0.0,13,4.0,2928571.4285714286
"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,East,1 month ago,22000000,0,0,3.0,0,0.0,0,4.0,22000000.0
"Balaju Commercial Building For Sale : House For Sale In Balaju, Kathmandu","Na, Balaju, Kathmandu",Kathmandu,East,1 month ago,145000000,95,40,5.0,7,0.0,2,4.0,1526315.7894736843
"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South,1 month ago,55000000,5,6,3.0,4,0.0,2,4.0,11000000.0
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,East,1 month ago,24000000,4,4,2.5,1,0.0,9,4.0,6000000.0
"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,South East,1 month ago,37000000,6,6,3.0,3,0.0,2,4.0,6166666.666666667
"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,East,1 month ago,102500000,6,6,3.0,4,0.0,13,4.0,17083333.333333332
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,South,4 months ago,22000000,7,4,3.5,2,0.0,13,4.0,3142857.1428571427
"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,East,1 month ago,58500000,6,6,3.0,2,0.0,2,4.0,9750000.0
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,East,1 month ago,18500000,4,3,2.5,1,0.0,7,4.0,4625000.0
"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,East,1 month ago,21000000,4,3,2.5,1,0.0,10,4.0,5250000.0
"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur","Swastik Tole, Imadol, Lalitpur",Lalitpur,South,1 month ago,17500000,5,3,3.0,1,0.0,8,4.0,3500000.0
"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,East,1 month ago,130000000,5,6,3.0,3,0.0,17,4.0,26000000.0
"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,105000000,8,8,4.0,4,0.0,2,4.0,13125000.0
"4 Ropani Farm House Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South,1 month ago,105000000,5,5,3.0,4,0.0,19,4.0,21000000.0
"Kapan Khariboth Home : House For Sale In Kapan, Kathmandu","Na, Kapan, Kathmandu",Kathmandu,East,1 month ago,27500000,6,5,3.0,1,0.0,1,4.0,4583333.333333333
"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,East,1 month ago,40000000,7,7,4.0,2,0.0,1,4.0,5714285.714285715
"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,West,1 month ago,26500000,6,6,3.0,2,0.0,1,4.0,4416666.666666667
"Office Space For Rent In Radhe Radhe, Bhaktapur","Nearby Bhatbhateni Super market, Radhe Radhe, Bhaktapur",Bhaktapur,West,4 months ago,50,0,2,3.5,2,0.0,8,4.0,50.0
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,North East,1 month ago,22500000,6,6,3.0,1,0.0,1,4.0,3750000.0
"11 Ana Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South East,1 month ago,60000000,6,6,3.0,4,0.0,1,4.0,10000000.0
"Baluwatar 30 Ana Bungalow For Sale : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,East,1 month ago,250000000,6,5,3.0,10,0.0,8,4.0,41666666.666666664
"Grandy House For Sale : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,East,1 month ago,40000000,9,6,4.0,3,0.0,1,4.0,4444444.444444444
"Sukedhara Brand New Home For Sale : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,East,1 month ago,30000000,6,5,3.0,1,0.0,9,4.0,5000000.0
"Naksal Maligau Home For Sale : House For Sale In Maligaon, Kathmandu","NA, Maligaon, Kathmandu",Kathmandu,East,1 month ago,65000000,6,6,3.0,4,0.0,10,4.0,10833333.333333334
"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,North,1 month ago,33000000,5,6,3.0,2,0.0,2,4.0,6600000.0
"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,West,1 month ago,30500000,5,5,2.0,1,0.0,1,4.0,6100000.0
"Mandikatar 1 Floor Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,South West,1 month ago,14000000,2,2,1.0,1,0.0,1,4.0,7000000.0
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,South East,1 month ago,28000000,6,6,3.0,1,0.0,1,4.0,4666666.666666667
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,South East,1 month ago,41000000,10,5,4.0,3,0.0,1,4.0,4100000.0
"Sundar Basti Brand New Home 2 Homes : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,27000000,6,6,3.0,2,0.0,2,4.0,4500000.0
"Tokha Near Venas Housing Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,East,1 month ago,22000000,5,5,3.0,1,0.0,1,4.0,4400000.0
"8 Ana Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South East,1 month ago,37000000,5,5,3.0,3,0.0,7,4.0,7400000.0
"House For Sale In Baluwatar, Kathmandu","Chandol, Height, Baluwatar, Kathmandu",Kathmandu,South West,1 month ago,46000000,4,3,2.5,1,0.0,15,4.0,11500000.0
"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu","Piple Chautari Tole (Naya Basti), Naikap, Kathmandu",Kathmandu,East,1 month ago,22500000,5,3,3.0,1,0.0,9,4.0,4500000.0
"Brand New Never Used House For Sale At Rose Village Balkot : House For Sale In Balkot, Bhaktapur","Rose Village Balkot, Balkot, Bhaktapur",Bhaktapur,North,1 month ago,29000000,3,3,2.0,2,0.0,17,4.0,9666666.666666666
"House On Sale : House For Sale In Naya Bazar, Kathmandu","Nayabazar-16, Naya Bazar, Kathmandu",Kathmandu,East,1 month ago,31000000,3,4,3.0,1,7.0,4,4.0,10333333.333333334
"Commercial House Sale In Satungal : House For Sale In Satungal, Kathmandu","Commercial land sale in Satungal, Satungal, Kathmandu",Kathmandu,West,1 month ago,42500000,0,0,3.0,0,0.0,0,4.0,42500000.0
"Flat House On Sale, 500 Meter Far From Main Road. : House For Sale In Budhanilkantha, Kathmandu","pasikot/Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,South East,1 month ago,37500000,5,5,3.0,2,0.0,10,4.0,7500000.0
"House For Sale In Tarkeshwor, Kathmandu","Nagpokhari road, Tarkeshwor, Kathmandu",Kathmandu,West,1 month ago,13000000,2,1,1.0,1,0.0,1,4.0,6500000.0
"House With 4 Ropani, Only Land Cost -Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Muhanpokhari Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,South,1 month ago,105000000,4,3,3.0,4,0.0,12,4.0,26250000.0
"Modern House For Sale -Baluwatar : House For Sale In Baluwatar, Kathmandu","Shree Marga, Baluwatar, Kathmandu",Kathmandu,West,1 month ago,80000000,4,5,3.0,4,0.0,15,4.0,20000000.0
"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur","Nakkhudol Bhaisepati, Nakhundol, Lalitpur",Lalitpur,East,1 month ago,25000000,3,4,2.0,2,0.0,7,4.0,8333333.333333333
"Bungalow : House For Sale In Bhaktapur, Bhaktapur","Gamcha, Bhaktapur, Bhaktapur",Bhaktapur,South,1 month ago,32500000,4,4,2.0,4,8.0,13,4.0,8125000.0
"जोरपाटी माकलबारी सानो पुल नजिक : House For Sale In Jorpati, Kathmandu","jorpati makalbari near sano pool, Jorpati, Kathmandu",Kathmandu,South West,1 month ago,21000000,5,3,3.0,1,0.0,7,4.0,4200000.0
"Bungalow At Aananda Colony, Aastha Chowk : House For Sale In Bharatpur, Chitwan","Aananda Colony, Bharatpur, Chitwan",Chitwan,West,1 month ago,16000000,3,4,2.0,1,0.0,10,4.0,5333333.333333333
"House Sale In Raniban : House For Sale In Raniban, Kathmandu","Raniban, Raniban, Kathmandu",Kathmandu,West,1 month ago,120000000,0,0,3.0,0,0.0,0,4.0,120000000.0
"Attractive House For Sale In Ratnanagar, Chitwan : House For Sale In Ratnanagar, Chitwan","Jerauna, Ratnanagar, Chitwan",Chitwan,East,1 month ago,7700000,4,2,2.0,1,8.0,6,4.0,1925000.0
"Residential House : House For Sale In Makalbari, Kathmandu","Sundar Tole, Makalbari, Kathmandu",Kathmandu,West,1 month ago,20000000,7,3,2.5,2,0.0,12,4.0,2857142.8571428573
"3.5 Storey : House For Sale In Sipadol, Bhaktapur","Darjeling Height, Sipadol, Bhaktapur",Bhaktapur,West,5 months ago,19000000,7,4,3.5,1,0.0,11,4.0,2714285.714285714
"Fully Furnished New House On Sale At Hepali, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,South East,1 month ago,33500000,0,4,3.0,2,0.0,19,4.0,33500000.0
"House Sale In Mhepi : House For Sale In Mhepi, Kathmandu","Mhepi, Mhepi, Kathmandu",Kathmandu,North East,1 month ago,37000000,0,0,3.0,0,0.0,0,4.0,37000000.0
"House Sale In Chaysingdol : House For Sale In Pasikot, Kathmandu","Chyasingdol, Pasikot, Kathmandu",Kathmandu,East,1 month ago,36000000,0,0,3.0,0,0.0,0,4.0,36000000.0
"House On Sell @Dhapasi, Near By Grandi International Hospital. : House For Sale In Dhapasi, Kathmandu","Harihar Marg, Dhapasi, Dhapasi, Kathmandu",Kathmandu,South,1 month ago,40000000,8,4,3.0,5,0.0,12,4.0,5000000.0
"One And Half Storied : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,West,1 month ago,12500000,2,1,1.0,1,0.0,8,4.0,6250000.0
"Modern Designed : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,East,1 month ago,19500000,5,3,2.5,1,0.0,12,4.0,3900000.0
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,West,1 month ago,22000000,5,3,2.5,1,0.0,10,4.0,4400000.0
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,East,1 month ago,21500000,4,3,2.5,1,0.0,9,4.0,5375000.0
"Newly Built : House For Sale In Imadol, Lalitpur","Sanagaun height, Imadol, Lalitpur",Lalitpur,North East,1 month ago,19500000,4,3,2.5,1,0.0,9,4.0,4875000.0
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,South,1 month ago,19000000,4,3,2.5,1,0.0,8,4.0,4750000.0
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,South,1 month ago,18000000,4,3,2.5,1,0.0,0,4.0,4500000.0
"Brand New House For Sale In Swoyambhu/Swayambhu : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,South,1 month ago,37000000,8,5,3.0,2,0.0,4,4.0,4625000.0
"Brand New House For Sale In Swoyambhu/Swayambhu Near Bhagwan Pau : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,South,1 month ago,34000000,6,3,3.0,1,0.0,5,4.0,5666666.666666667
"Vbn : House For Sale In Butwal, Butwal","Nayagaun, Butwal, Butwal",Butwal,South,1 month ago,800000,2,1,1.0,1,5.0,1,4.0,400000.0
"Somaney : House For Sale In Imadol, Lalitpur","Imadol, near tempo park, Imadol, Lalitpur",Lalitpur,East,1 month ago,21000000,0,3,3.0,1,0.0,11,4.0,21000000.0
"House On Sell @Tarkeshwar-09, Manamaiju, Basukinagtole : House For Sale In Manamaiju, Kathmandu","Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu",Kathmandu,South,1 month ago,26000000,8,4,3.0,1,0.0,11,3.0,3250000.0
"House Sale In Syuchatar : House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,South West,1 month ago,22000000,5,3,3.0,1,0.0,4,4.0,4400000.0
"House Sale In Phutung Tushal : House For Sale In Kavresthali, Kathmandu","Phutung Tushal, Kavresthali, Kathmandu",Kathmandu,North East,2 months ago,23000000,7,3,3.0,1,0.0,1,4.0,3285714.285714286
"House Sale In Thulo Bharyang : House For Sale In Thulo Bharyang, Kathmandu","Thulo bharyang, Thulo Bharyang, Kathmandu",Kathmandu,North,1 month ago,25000000,8,4,5.0,0,0.0,2,4.0,3125000.0
"House For Sale In Goldhunga, Kathmandu","Jarankhu, Goldhunga, Kathmandu",Kathmandu,North West,2 months ago,15500000,5,2,3.0,1,0.0,1,4.0,3100000.0
"2 And Half Floor House Is On Sale In Imadole : House For Sale In Imadol, Lalitpur","Imadole, Imadol, Lalitpur",Lalitpur,North,2 months ago,23500000,6,4,3.0,1,5.0,8,4.0,3916666.6666666665
"House For Sale In Maharajgunj, Kathmandu","Maharajgunj Ganeshbasti, Maharajgunj, Kathmandu",Kathmandu,North East,2 months ago,57500000,0,0,3.0,0,0.0,0,4.0,57500000.0
"House Sale In Baluwatar : House For Sale In Baluwatar, Kathmandu","Baluwatar, Baluwatar, Kathmandu",Kathmandu,South East,2 months ago,90000000,5,5,3.0,3,0.0,7,4.0,18000000.0
"House For Sale In Kalanki, Kathmandu","Nearby L.R.I School., Kalanki, Kathmandu",Kathmandu,North West,2 months ago,17000000,4,3,2.5,1,0.0,11,4.0,4250000.0
"1.5 Storied House : House For Sale In Imadol, Lalitpur","Opposite of Green hill city, Imadol, Lalitpur",Lalitpur,South,2 months ago,12500000,2,1,1.5,1,0.0,6,4.0,6250000.0
"Plotted Land : Land For Sale In Sirutar, Bhaktapur","Milan Chowk, Sirutar, Bhaktapur",Bhaktapur,North East,2 months ago,2100000,0,0,3.0,0,0.0,2,4.0,2100000.0
"House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,South West,1 year ago,45000000,4,4,3.0,4,0.0,13,4.0,11250000.0
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","Nearby Pawan Pakriti School., Tikathali, Lalitpur",Lalitpur,South,2 months ago,12500000,2,1,1.5,1,0.0,3,4.0,6250000.0
"Residential : House For Sale In Imadol, Lalitpur","Ochu Height, Imadol, Lalitpur",Lalitpur,North West,2 months ago,19000000,4,3,2.5,2,0.0,9,4.0,4750000.0
"House For Sale In Pasikot, Kathmandu","chyasingdol, Pasikot, Kathmandu",Kathmandu,South West,2 months ago,32000000,0,0,3.0,0,0.0,0,4.0,32000000.0
"One And Half Storied : House For Sale In Kadaghari, Kathmandu","Birendrachwok, Planning, Kadaghari, Kathmandu",Kathmandu,South West,2 months ago,15500000,2,1,1.5,2,0.0,0,4.0,7750000.0
"Attractive Residential Land On Sale : Land For Sale In Budhanilkantha, Kathmandu","Bhuddha colony, Budhanilkantha, Kathmandu",Kathmandu,West,1 day ago,3000000,0,0,3.0,0,0.0,0,4.0,3000000.0
"18 Aana Land For Sale At Shamkhamul : Land For Sale In Sankhamul, Kathmandu","Sankhamul, Sankhamul, Kathmandu",Kathmandu,East,1 day ago,6500000,0,0,3.0,0,0.0,0,4.0,6500000.0
"Land On Sale At Beautiful Location : Land For Sale In Thankot, Kathmandu","High Vision Colony,Thankot,Mahadevsthan, Thankot, Kathmandu",Kathmandu,South,4 days ago,2350000,0,0,3.0,0,0.0,0,4.0,2350000.0
"4 Aana Land For Sale At Golfutar : Land For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,East,1 day ago,4100000,0,0,3.0,0,0.0,0,4.0,4100000.0
"Commercial Estate Land For Business : Land For Lease In Simara, Bara","Simara Chok, Simara, Bara",Bara,West,1 week ago,100000,0,0,3.0,0,0.0,0,4.0,100000.0
"Commercial Estate Land For Business : Land For Lease In Dhapasi, Kathmandu","Basundhara, Ring Road, Dhapasi, Kathmandu",Kathmandu,North West,3 weeks ago,200000,0,0,3.0,0,0.0,0,4.0,200000.0
"Land For Sale In Gaurighat, Kathmandu","kumarigal, Gaurighat, Kathmandu",Kathmandu,South,3 weeks ago,3500000,0,0,3.0,0,0.0,0,4.0,3500000.0
"Flat At Rent : Flat For Rent In Budhanilkantha, Kathmandu","Budhanilkanta, Budhanilkantha, Kathmandu",Kathmandu,West,3 weeks ago,30000,2,1,3.0,0,0.0,0,4.0,15000.0
"18 Ana Budhanilkantha Taulung : Land For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,West,1 month ago,2800000,0,0,3.0,0,0.0,0,4.0,2800000.0
"Budhanilkantha 18 Ana Taulung : Land For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,3500000,0,0,3.0,0,0.0,0,4.0,3500000.0
"Land Sale At Jhor, Tokha : Land For Sale In Tokha, Kathmandu","Nearby Baudheshwor Temple, Jhor, Tokha, Kathmandu",Kathmandu,East,1 month ago,1500000,0,0,3.0,0,0.0,0,4.0,1500000.0
"Land : Land For Sale In Birtamod, Birtamod","Omchowk, Birtamod, Birtamod",Birtamod,East,1 month ago,1250000,0,0,3.0,0,22.0,0,4.0,1250000.0
"Land Sale In Phutung : Land For Sale In Kavresthali, Kathmandu","Phutung, Kavresthali, Kathmandu",Kathmandu,South,1 month ago,1100000,0,0,3.0,0,0.0,0,4.0,1100000.0
"Land Sale In Chabahil : Land For Sale In Chabahil, Kathmandu","Chabahil, Chabahil, Kathmandu",Kathmandu,South,1 month ago,8500000,0,0,3.0,0,0.0,0,4.0,8500000.0
"Land Sale In Jarankhu : Land For Sale In Kavresthali, Kathmandu","Jarankhu, Kavresthali, Kathmandu",Kathmandu,South,1 month ago,2850000,0,0,3.0,0,0.0,0,4.0,2850000.0
"Land Sale In Dharmasthali : Land For Sale In Dharmasthali, Kathmandu","Dharmasthali, Dharmasthali, Kathmandu",Kathmandu,West,1 month ago,1450000,0,0,3.0,0,0.0,0,4.0,1450000.0
"Budhanilkantha Land : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,2600000,0,0,3.0,0,0.0,0,4.0,2600000.0
"Deuba Chokma 1 Ropani : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,3800000,0,0,3.0,0,0.0,0,4.0,3800000.0
"Deuba Biwas 10 Ana : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South,1 month ago,3500000,0,0,3.0,0,0.0,0,4.0,3500000.0
"Consultancy : Office Space For Sale In Dillibazar, Kathmandu","Dilli bazzar road, Dillibazar, Kathmandu",Kathmandu,North,1 month ago,1000000,0,0,3.0,0,0.0,1,4.0,1000000.0
"Budhanilkanthama 8 Ropani 10 Ana : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,3500000,0,0,3.0,0,0.0,0,4.0,3500000.0
"Bansbarima 8 Ana Jagga : Land For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,South,1 month ago,4200000,0,0,3.0,0,0.0,0,4.0,4200000.0
"Budhanilkanyha 8 Ropani : Land For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,6000000,0,0,3.0,0,0.0,0,4.0,6000000.0
"Spacious Flat Bear Grande Hospital : Flat For Rent In Tokha, Kathmandu","Grande Villa height, milantol, tokha, Tokha, Kathmandu",Kathmandu,West,1 month ago,20000,2,1,3.0,1,0.0,4,4.0,10000.0
"Land Sale : Land For Sale In Bhaktapur, Bhaktapur","duwakot, Bhaktapur, Bhaktapur",Bhaktapur,South,1 month ago,2100000,0,0,3.0,0,0.0,0,4.0,2100000.0
"Flat For RENT : Flat For Rent In Maharajgunj, Kathmandu","Chakrapath,Near Bhat Bhateni, Maharajgunj, Kathmandu",Kathmandu,West,1 month ago,32000,2,2,5.0,0,0.0,0,4.0,16000.0
"Commercial / Residential Land : Land For Sale In Imadol, Lalitpur","Kist hospital to hatiban road, Imadol, Lalitpur",Lalitpur,South West,1 month ago,3500000,0,0,3.0,0,0.0,0,4.0,3500000.0
"Hattigauda 9 Ana Home On Rent : House For Rent In Hattigauda, Kathmandu","Man, Hattigauda, Kathmandu",Kathmandu,South,1 month ago,75000,7,7,3.0,3,0.0,1,4.0,10714.285714285714
"Flat On Rent At Lazimpat : Flat For Rent In Lazimpat, Kathmandu","ranibari, Lazimpat, Kathmandu",Kathmandu,East,1 month ago,30000,1,1,3.0,1,0.0,4,4.0,30000.0
"Bishalnagar 29 Ana For Sale : Land For Sale In Bishal Nagar, Kathmandu","Na, Bishal Nagar, Kathmandu",Kathmandu,East,1 month ago,8500000,0,0,3.0,0,0.0,0,4.0,8500000.0
"Land For Sale In Bhangal, Kathmandu","jyoti nagar,kathmandu, Bhangal, Kathmandu",Kathmandu,North East,1 month ago,2450000,0,0,3.0,0,0.0,0,4.0,2450000.0
"Tallo Baluwatar 1 Ropani : Land For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,East,1 month ago,5700000,0,0,3.0,0,0.0,0,4.0,5700000.0
"Flat/Godown Space Available For Rent : Flat For Rent In Newroad, Kathmandu","Pyukha new road, Newroad, Kathmandu",Kathmandu,South,1 month ago,20000,0,1,3.0,0,0.0,0,4.0,20000.0
"Maligaon Commercial 12 Ana : Land For Sale In Maligaon, Kathmandu","Man, Maligaon, Kathmandu",Kathmandu,East,1 month ago,7000000,0,0,3.0,0,0.0,0,4.0,7000000.0
"Office Space Available For Rent : Office Space For Rent In Newroad, Kathmandu","Pyukha marg near bira complex, Newroad, Kathmandu",Kathmandu,South,1 month ago,65000,0,1,3.0,0,0.0,0,4.0,65000.0
"Hattigauda Height 9 Ana Land : Land For Sale In Hattigauda, Kathmandu","Na, Hattigauda, Kathmandu",Kathmandu,South,1 month ago,2500000,0,0,3.0,0,0.0,0,4.0,2500000.0
